,max_features,tagger,part_of_speech,accuracy,time
0,1000,morphoDita,noun,0.5577378936674569,22.85114812850952
1,1000,morphoDita,adjective,0.4537758211987809,20.554830074310303
2,1000,morphoDita,verb,0.2783609888249238,21.46310806274414
3,1000,wcrft2,noun,0.5445309854385371,25.68565607070923
4,1000,wcrft2,adjective,0.4544530985438537,21.76706099510193
5,1000,wcrft2,verb,0.2756518794446326,22.459691047668457
6,1000,krnnt,noun,0.5607856417202844,37.49714398384094
7,1000,krnnt,adjective,0.444632577040298,20.97661304473877
8,1000,krnnt,verb,0.274297324754487,20.357028007507324
9,10000,morphoDita,noun,0.759227903826617,34.2405571937561
10,10000,morphoDita,adjective,0.6027768371147985,32.62580609321594
11,10000,morphoDita,verb,0.3681002370470708,28.261332988739014
12,10000,wcrft2,noun,0.741618692854724,34.03734302520752
13,10000,wcrft2,adjective,0.5956654249915341,32.197036027908325
14,10000,wcrft2,verb,0.35489332881815105,30.37397789955139
15,10000,krnnt,noun,0.7673552319674907,39.086551904678345
16,10000,krnnt,adjective,0.5960040636640704,34.04928779602051
17,10000,krnnt,verb,0.3694547917372164,32.43037509918213
18,100000,morphoDita,noun,0.7666779546224178,65.81683707237244
19,100000,morphoDita,adjective,0.6051473078225533,33.52847123146057
20,100000,morphoDita,verb,0.3681002370470708,28.225786924362183
21,100000,wcrft2,noun,0.7544869624111074,56.24698090553284
22,100000,wcrft2,adjective,0.5956654249915341,32.864609718322754
23,100000,wcrft2,verb,0.35489332881815105,28.376874208450317
24,100000,krnnt,noun,0.7998645445309854,161.06390190124512
25,100000,krnnt,adjective,0.5966813410091433,54.81393098831177
26,100000,krnnt,verb,0.3694547917372164,28.24585509300232
